operator,num_of_crashes
Jersey Airways,2
Jett Paqueteria SA,2
Japan Maritime Self Defense Force,2
Juba Air Cargo,2
Karibu Airways,2
Grand Canyon Airlines,2
General Airways,2
Georgian Air Force,2
Gulf Air,2
Hewa Bora Airways,2
Imperial Iranian Air Force,2
Holymans Airways,2
Honduran Air Force,2
Hageland Aviation Services,2
Hunting Air Travel,2
Fuerza AÃƒÂ©rea Colombiana,2
Handley Page Transport,2
FedEx,2
Finnair,2
First Air,2
Federal Express,2
Frontier Airlines,2
Fuerza Aerea Colombiana,2
China Southwest Airlines,2
Crossair,2
Cubana de Aviacon,2
Congolese Air Force,2
Colonial Western Airlines,2
CNAC,2
CORAL Colombia,2
Cordova Airlines,2
Emery Worldwide,2
East African Airways,2
Expresso AÃƒÂ©reo,2
Djibouti Airlines,2
Eastern Air Transport,2
Eastern Provincial Airways,2
Douglas Airways,2
Downeast Airlines,2
DTA Angola Airlines,2
Eagle Aviation,2
Air Manitoba,2
Air Freight New Zealand,2
Air Cargo Carriers,2
Air Guadeloupe,2
Agencia Interamericana de Aviada,2
Air Atlas,2
Aerovias Brasil,2
Afghan Army,2
Air Afrique,2
Air Charter,2
Airfast Indonesia,2
Airfast Services,2
Airborne Express,2
Airlink,2
AirNow,2
Alada,2
Air Logistics,2
Air Rhodesia,2
Air Nautic,2
Air Transport,2
Air Mali,2
Air Transport Charter,2
Aerocon,2
Aerolineas Abaroa,2
Aerolineas Centrales de Colombia,2
Aerocaribe,2
Aerolift,2
Aerovias Contreras,2
Aeronorte Colombia,2
Aeroperlas,2
Aerolineas Flecha Austral,2
A B Aerotransport,2
ADC Airlines,2
Aden Airways,2
ADES Colombia,2
Aer Lingus,2
Aero Service,2
Aereo el Venado,2
" Army Air Corps",2
Austin Airways,2
Aviastar Mandiri,2
Azerbaijan Air Force,2
Bali International Air Service,2
Belgian Air Force,2
ATI,2
Autrex,2
AREA,2
American International Airways,2
Antilles Air,2
Associated Airways,2
Alyemda,2
Ameriflight,2
Ameristar Jet Charter,2
Airlines of Australia,2
Boston Airlines,2
Bouraq Indonesia Airlines,2
Braathens,2
Braniff Airways,2
Britannia Airways,2
British Eagle International Airlines,2
British Midland Airways,2
Capitol Airways,2
Chicago and Southern Airlines,2
Central Air Transport,2
CeskoslovenskÃƒÂ© Aerolinie,2
China Northern Airlines,2
China Northwest Airlines,2
China Southern Airlines,2
China Southern Airlines / Xiamen Airlines,1
Cia Brasiliera de Tratores,1
Cie Air Transport,1
Cie des Messageries Aeriennes,1
China Airlines,1
China Flying Dragon Aviation (Feilong Airlines),1
China General Aviation Corporation,1
Commercial Air Taxi,1
Commercial Airways,1
Commercial Airways (Comair),1
Communicaciones Aereos de veracruz,1
CompaÃƒÂ±ia Colombiana de NavegaciÃƒÂ³n AÃƒÂ©rea,1
Compagnie Africaine d' Aviation (CAA)Ã‚Â ,1
Compagnie Air Transport,1
Compagnie Franco-Roumaine de Navigaation Aerienne,1
Compagnie Internationale de Navigation AÃƒÂ©rienne,1
Compagnie Sila,1
Compania de Aviacion Faucett SA (Peru),1
Compania Dominicana de Aviacion,1
Compania Mexicana de Aviacion,1
Comvac Aviation,1
Condor Flugdienst,1
Congo Airline,1
Central Airlines,1
Central American Airways,1
Central Air,1
Central Air Services,1
Cathy Pacific,1
CCCP,1
Cebu Pacific Air,1
Centrafricain Airlines,1
Central  Airlines (Universal Aviation Corporation),1
Campagnie France Roumaine,1
Canadian Colonial Airways,1
British Overseas Airways /Qantas,1
Capitol Airlines,1
Canair Cargo,1
Canairelief Air,1
Chicago Helicopter Airways,1
Chicago Southern Airlines,1
Chicago-Detroit Airways,1
Charter -Federal Electricity Commission,1
Chelan Air Service,1
Cheremshanka Airlines,1
Centurian Air Cargo,1
Century Air Lines,1
Century Pacific Lines,1
Cessnyca,1
Chadian Air Force,1
Chalk's International Airlines,1
Chalk's Ocean Airways,1
Chamberlin Flying Service,1
Channel Express,1
Caproni Company,1
Carga Aereo Transportada,1
Carga del Caribe,1
Cargo,1
Cargo Three Panama,1
Cargolux,1
Carib Air Transport,1
Caribbean Airlines,1
Caribbean International Airways,1
Carvair ATL-98,1
Cascade Airways,1
Caspian Airlines,1
Castle Aviation,1
CATA,1
CATA Linea Aerea,1
Catalina Airlines,1
CATC,1
British International Helicopters,1
Business Air Connection,1
Business Jet Services,1
By Air,1
CAAK,1
Cable Commuter,1
Cabo Verde Airlines,1
Calair,1
Caledonian Airways,1
California Air Freight,1
California Air National Guard,1
California Aircraft,1
CAMBA,1
Britavia,1
British,1
British Air Ministry,1
British Aircraft Corporation,1
British Airtours,1
British Airways Helicopters,1
British Columbia Airways,1
British Commonwealth Pacific Airlines,1
British United Airways,1
British World Airways,1
Britt Airways,1
Bruning Aviation,1
Buddha Air,1
Buffalo Narrows Airways,1
Bulair TABSO,1
Bulgarian,1
Burke Air Transport,1
Burlington Air Express,1
Burma Air Force,1
Brit Air,1
Brazilian Helicopter Service  Air Taxi,1
Brazilian Helicopter Service Air Taxi,1
Brazilian Helicopter Services,1
Bremerton-Seattle Air Taxi / Gorst Air Lines,1
Bristop Aeroplane Company,1
Branch River Air Service,1
Bourag Indonesia Airlines,1
Bombardier Aerospace,1
Bonanza Airlines,1
Bond Offshore Helicopters,1
Borneo Airways,1
Airlines of PNG,1
Air US / Private,1
All Nippon Airways /  Japanese Air Force,1
All West Freight,1
Allegheny Airlines / Forth Corporation,1
Alliance Airlines,1
Allied Air,1
Allied Air Freight,1
Allied Services LimitedÃ‚Â ,1
Aloha Airlines,1
Aloha Island Air,1
Alpa Servicios AÃƒÂ©reos,1
Alpha Airways,1
Alpine Adventures,1
ANDESA,1
Angara Airlines,1
Angel Flight,1
Angola Air Charter,1
Angolan  Air Force,1
American Export Airlines,1
American Express Leasing,1
American Flyers Airline,1
Alyemda Airlines,1
Amazonese Importacao e Exportacao,1
Ambler Air Service,1
Amee de l'Air,1
ALIANSA Colombia,1
Alisansa Colombia,1
American Airlines / Private,1
Associated Aviation,1
Associated Aviators,1
Astro Air Taxi,1
Aspring Air,1
Associated Air Transport,1
Aria Airlines,1
ArmÃƒÂ©e de l'Air Malgache,1
Armavia,1
Army Air Force,1
Arrow Airlines,1
Arrow Airways,1
Arsenyev Aviation Production Association,1
ARTOP Aerotopografica LDA,1
Asa Pesada,1
Ashland Oil Company,1
Asian Spirit,1
APRL,1
Aquilla Airways,1
Arall,1
Aramar,1
Aramco Associated Company,1
Ararat Avia,1
Arax Airlines,1
Aray-Avia,1
Archana Airlines,1
Archipelagos Service Aereos,1
Arctic Circle Air Service,1
Arctic Pacific,1
Arctic Sunwest Charters,1
Arctic Wings & Rotors,1
American Jet,1
American Overseas Airlines,1
Angolan Armed Forces,1
Ansett Airlines of Papua New Guinea,1
Ansett New Zealand,1
Antillean Airlines,1
AV Air / American Eagle,1
Avalki Air,1
Avesca Colombia,1
Australian Aerial Services,1
Australian Army Aviation,1
Austria-Flugdienst,1
Austrian Airlines,1
ATI Aircompany,1
Atlantic Airlines,1
Atlantic Airways,1
Atlantic Central Airlines,1
Atlantic City Airlines,1
Atlantic Coast Airlines (United Express),1
Atlas Air serving AmazonÃ‚Â ,1
Atlasjet Airlines,1
Atran,1
Aurukun Air Services,1
Avio Linee Italiane Avio Linee Italiane,1
Aviogenex (Yugoslavia),1
Avion Airways,1
Avirex,1
Avis Amur,1
AVISPA,1
Avistar MandariÃ‚Â ,1
Avisto,1
Avtex Air Services,1
AZAL Cargo Company,1
Aviation Development Corporation,1
Aviation Enterprises,1
Avicsa,1
Avient Aviation,1
Aviaco Condor,1
Aviaimpex (Macedonia),1
AVIANCA / AVIANCA,1
Belgian International Air Services,1
Bellview Airlines,1
Bharat Airways,1
Bhoja Airlines,1
Bimini Airways,1
Binter MediterrÃƒÂ¡neo,1
BKS Air Transport,1
Blue Bird Air Service,1
Blue Bird Aviation,1
Blue Hawaiian Helicopter,1
Blue Hawaiian Helicopters,1
Blue Water Aviation Services,1
Blue Wing Airlines,1
Blue Wings Airlines,1
Boeing KC-135E,1
Bodensee Aerolloyd,1
Bako Air,1
BAL Bremerhaven Airline,1
Balair,1
Azerbaijani Airlines,1
Azzi,1
BAFIN,1
Baikal Air,1
Bangkok Airlines,1
Bangkok Airways,1
Bangladesh Biman,1
Bankair,1
Bar Harbor Airlines,1
Bashkirian Airlines / DHL Worldwide Express,1
Bavaria Flug,1
Bay of Plenty Airways,1
Bazair,1
Bearskin Airlines,1
Bearskin Airlines / Air Sandy,1
" Army Air Force",1
" Airforce",1
" Airlines  PNG",1
" (Canada)",1
" (leased from Eminex)",1
" AÃƒÂ©reas de Veracruz",1
" AÃƒÂ©riens d'ExtrÃƒÂªme Orient",1
" Aeronautica de Transportes",1
" Aeroservizi",1
" Army Air Service",1
" Brasileira",1
" British American Air Services",1
" charter",1
" Congolese Army Charter",1
" de la Direccion General de Ados",1
" Government (leased)",1
" HeliCusco",1
" Intercontinentaux",1
" Intercontinentaux (France)",1
" Israel Air Force",1
" Libya Air Force",1
" LTD",1
Ababeel Aviaition,1
Abakan Airlines,1
Aca-Ancargo,1
Ace Air Cargo,1
" Marines",1
" McKinley Airfreight",1
" Misson",1
" Navy / NASA",1
" Overseas Airways",1
" SocietÃƒÂ  Aerea Mediterranea",1
" Tropicaux",1
" US Navy",1
" UTair Charter",1
",  (Air Indiana)",1
", Washington AW",1
46826/109,1
Aerevias Centrales Air Service,1
Aerflot,1
Aerial Transit Company,1
Aero Air,1
Aero Brasil,1
Aero Cargo,1
Aero Club Libya,1
Aero Condor,1
Aero Cozumel,1
Aero Ejecutivos,1
Aero Eslava,1
Aero Ferinco Charter,1
Aero Fret Business,1
Aero Holland,1
Aero Jet Express,1
Aero Limited,1
Aero Mayflower Transit Co,1
Aero Sudpacifico,1
Aero Taxis Equatorianos,1
Aero Trans Corp,1
Aero Transportes,1
Aer Turas,1
Aeralpi,1
Aero Peru,1
Advance Airlines,1
Adventure Airlines,1
AE Aviation,1
AECA Cargo,1
AÃƒÂ©ropro,1
Adam Air,1
Aerolineas La Gaviola,1
Aerolineas Litoral Argentina,1
Aerolineas Nacionales,1
